Company Name,Year,Months,Total income,Total liabilities,Total assets,Profit after tax,Total expenses,Indirect taxes,Rent & lease rent,Sales,Income from financial services,Other income
Commercial Broadcasts Ltd.,31-03-2022,12,4.5,100.1,100.1,2.1,2.4,,,1.7,2.8,
Commercial Hire Purchase (India) Ltd.,31-03-2012,12,,43.6,43.6,-0.1,0.1,,,,,
Commercial House Pvt. Ltd. [Merged],31-03-2019,12,14.6,221.3,221.3,10.9,3.7,,,,13.2,
Commercial Leasing Corpn. Pvt. Ltd.,31-03-2003,12,2.9,57.7,57.7,-1.1,4,,,0.1,1.1,1.4
Commerzbank A G,31-03-2002,12,375.5,704.5,704.5,-84.6,460.1,,21.5,,354.2,20.9
Commex Technology Ltd.,31-03-2020,12,,30.6,30.6,-4.3,4.3,1.2,0.3,,,
Commitment Finance Ltd.,31-03-2022,12,11.7,174.6,174.6,42.7,-31,,0.1,,8.5,
Commonwealth Bank Of Australia,31-03-2016,12,341,4274.5,4274.5,-90.5,431.5,,27.3,,335.1,2
Compact Capital Ltd.,31-03-2021,12,11.3,399.4,399.4,0.3,11,,0.1,,11,
Compass Investments Pvt. Ltd.,31-03-2022,12,0.3,4.7,4.7,-0.2,0.5,,,,0.3,
Composite Securities Ltd.,31-03-2023,12,22.8,85.9,85.9,-0.5,23.3,,1.6,,22.6,0.2
Compunics Information Systems Ltd.,31-03-2012,12,0.1,0.9,0.9,-0.6,0.7,,,,0.1,
Computer Point Ltd.,31-03-2023,12,15.4,335,335,0.1,15.3,,1.3,0.1,15.1,
Comtrade Commodities Services Ltd.,31-03-2024,12,0.6,33.5,33.5,-8.9,9.5,0.5,,,0.6,
Concept Assets Mgmt. Ltd. [Merged],31-03-2005,12,,22.3,22.3,,,,,,,
Concept Capital Mgmt. Ltd. [Merged],31-03-2005,12,,15.9,15.9,,,,,,,
Concept Holdings Ltd. [Merged],31-03-2005,12,,16.3,16.3,,,,,,,
Concert Capital Ltd.,31-03-2011,12,0.4,24.5,24.5,-0.5,0.9,,,,0.4,
Concert Securities Ltd.,31-03-2012,12,,0,,,,,,,,
Concord Credit Ltd.,31-03-2023,12,2.5,24.2,24.2,1.3,1.2,,0.1,,0.2,
Concord Marketing & Financiers Pvt. Ltd.,31-03-2023,12,27.7,249.4,249.4,8.5,19.2,,,0.7,26.7,0.3
Concrete Investments Ltd. [Merged],30-06-2000,12,1.3,7.7,7.7,1.2,0.1,,,,1.3,
Confederation Of Indian Textile Industry,31-03-2012,12,26.9,225.3,225.3,-4.4,31.3,0.5,0.3,12.2,14.4,0.1
Connect.1 Ltd.,31-03-2022,12,21.3,3.3,3.3,20.3,1,,,0.4,,
Connor Information Technology Ltd.,31-03-2010,12,139.5,167.8,167.8,93.3,46.2,,0.2,,9.9,
Conrad Manufacturers & Traders Ltd.,31-03-2023,12,0.2,4.7,4.7,-0.5,0.7,,,,0.2,
Conrad Tele-Films Pvt. Ltd. [Merged],31-03-2020,12,0.2,188.3,188.3,-0.1,0.3,,0.1,,0.2,
Conscofe Investments Ltd. [Merged],31-03-2002,12,2.2,27.2,27.2,0,2.2,,,,2.2,
Consecutive Investments & Trdg. Co. Ltd.,31-03-2024,12,5.6,152.6,152.6,1.7,3.9,,,,3.3,
Console Estate & Investments Ltd. [Merged],31-03-2005,12,1.5,8.7,8.7,0.8,0.7,,0.1,,1.5,
Consolidated Capital Investcare Pvt. Ltd.,31-03-2023,12,36.6,473.6,473.6,8.6,28,,0.3,,36.6,
Consolidated Finvest & Holdings Ltd.,31-03-2023,12,7189.2,8596.7,8596.7,3129.4,4059.8,,0.1,,7189.2,
Consolidated Finvest & Investments Ltd. [Merged],31-03-2016,12,,923.3,923.3,-0.1,0.1,,,,,
Consolidated Photo & Finvest Ltd. [Merged],31-03-2021,12,179.2,2879.4,2879.4,163.5,15.7,0.7,,18.4,160.6,0.2
Consolidated Rayon Ltd.,31-03-2022,12,0.2,106.7,106.7,-0.4,0.6,,,0.1,0.1,
Consortium Finance Ltd. [Merged],31-03-2000,12,81.9,457.9,457.9,-38,119.9,,2.2,,69.4,12.5
Consortium Vyapaar Ltd.,31-03-2023,12,8.4,324.8,324.8,1.5,6.9,0.1,0.1,1.8,6.6,
Constellation Capital Ltd. [Merged],31-03-2011,12,,229.2,229.2,-0.2,0.2,,,,,
Consumer Financial Services Ltd. [Merged],31-03-2016,12,0.1,4,4,0,0.1,,,,0.1,
Consumer Protection & Guidance Co. Pvt. Ltd.,31-03-2022,12,2.1,36.9,36.9,-0.2,2.3,,0.2,0.6,1.5,
Container Gateway Ltd.,31-03-2023,12,,0.9,0.9,,,,,,,
Continental Construction Corpn. Ltd.,31-03-2022,12,9.8,265.4,265.4,-0.8,10.6,0.6,0.5,,9.6,0.1
Continental Controls Ltd.,31-03-2024,12,0.8,21,21,-3.1,3.9,,,,0.8,
Continental Device Infotech Pvt. Ltd.,31-03-2023,12,,0.4,0.4,,,,,,,
Continental Fiscal Mgmt. Ltd.,31-03-2013,12,13.8,875.1,875.1,0.2,13.6,,,,13.8,
Continental Securities Ltd.,31-03-2024,12,15.8,123.9,123.9,7.6,8.2,,0.7,,15.8,
Continuum Green Energy (India) Pvt. Ltd.,31-03-2023,12,1902.3,41027.3,41027.3,-3039.6,4941.9,4.6,20.5,489.7,1081.8,329.1
Contract Carriers Ltd.,31-03-2022,12,,89.2,89.2,-0.1,0.1,,0.1,,,
Contypark Finance Corpn. Ltd.,31-03-2022,12,51.4,244.9,244.9,0.1,51.3,,1.6,,51.4,
Convergent Telecom Pvt. Ltd.,31-03-2022,12,0.2,62.1,62.1,-0.7,0.9,0.1,,,0.2,
Cooperatieve Rabobank U A,31-03-2024,12,1787.9,10455.9,10455.9,627.5,1160.4,31.6,54.4,,970.3,8.6
Copsale Ltd.,31-03-2021,12,565.4,8900.3,8900.3,59.7,505.7,,,,565.4,
Coral Construction Pvt. Ltd.,31-03-2021,12,,9.9,9.9,,,,,,,
Coral Cosmetics Pvt. Ltd.,31-03-2008,12,10,66.1,66.1,6.1,3.9,,,,3,7
Corbel Estate & Investments Pvt. Ltd. [Merged],31-03-2009,12,108.3,659.5,659.5,-304.8,413.1,,,,108.3,
Corbett Finance Ltd.,31-03-2022,12,0.9,30.7,30.7,0.2,0.7,,0.1,,0.9,
Core Resource Finance Ltd.,31-03-2023,12,4.8,107.6,107.6,0.2,4.6,,0.4,,4.8,
Coremind Software & Services Pvt. Ltd.,31-03-2023,12,,561.3,561.3,0,0,,,,,
Cornea Properties Ltd.,31-03-2023,12,,30,30,,,,,,,
Cornerstone Securities Ltd.,31-03-2021,12,0.6,11,11,-0.5,1.1,,,,0.6,
Cornet Ventures Ltd. [Merged],31-03-2015,12,,146.6,146.6,,,,,,,
Coromandal Biotech Inds. (India) Ltd.,31-03-2022,12,6.2,76.2,76.2,4,2.2,0.1,,,3.1,
Coromandel Chemicals Ltd.,31-03-2023,12,21.8,2243.9,2243.9,-55.9,77.7,8.7,,2.5,19.3,
Coromandel Garments Ltd.,31-03-2008,12,20.5,331.5,331.5,-6.2,26.7,,5.4,0.8,18.6,1.1
Coromandel Holdings & Minerals Ltd. [Merged],31-03-2006,12,0.7,6.5,6.5,0.5,0.2,,,,0.7,
Coromandel Travels Ltd.,31-03-2023,12,0.1,14.4,14.4,-7.6,7.7,0.1,,,0.1,
Coromant (India) Ltd.,31-03-2001,12,2.6,23.7,23.7,2.5,0.1,,,,2.6,
Corona Rim Mfg. Co. Ltd.,31-03-2022,12,0.1,1.9,1.9,0,0.1,,,,0.1,
Coronation Capital Market Pvt. Ltd.,31-03-2023,12,5.3,36,36,1.5,3.8,,,,5.3,
Coronet Industries Ltd.,31-03-2022,12,6,106,106,0.5,5.5,,0.1,,6,
Corpbank Homes Ltd. [Merged],31-03-2006,12,248.7,2764,2764,12.9,235.8,,2.1,,247.8,0.9
Corporate Capital Services (India) Pvt. Ltd. [Merged],31-03-2016,12,12.5,18.8,18.8,-14.5,27,,,,11.1,
Corporate Infrastructure Services Pvt. Ltd.,31-03-2023,12,357,5968.8,5968.8,9.5,347.5,0.2,,0.7,344.8,2
Corporate Merchant Bankers Ltd.,31-03-2023,12,0.8,34.3,34.3,-0.1,0.9,0.1,0.1,0.8,,
Corporate Power Ltd.,31-03-2016,12,15.9,68761.5,68761.5,-6457.9,6473.8,,,,6.1,
Corporate Risks India Insurance Brokers Pvt. Ltd.,31-03-2022,12,44.6,77.9,77.9,8,36.6,6.5,2.3,,42.7,1.9
Corporation Bank [Merged],31-03-2020,12,200244.1,2299901.4,2299901.4,-23915.9,224160,,3306.3,,169407.8,29773.9
Corpus Polychem Ltd.,31-03-2021,12,0.4,45,45,0,0.4,,,,0.4,
Corum Securities Pvt. Ltd.,31-03-2023,12,50.8,590.1,590.1,0.8,50,,3.3,,50.5,
Corus Real Estate Ltd.,31-03-2021,12,1.6,66.2,66.2,-0.1,1.7,,,,1.6,
Cosco Sales & Services Pvt. Ltd.,31-03-2009,12,,0.1,0.1,,,,,,,
Cosco Stock & Shares Ltd.,31-03-2011,12,0.6,10.7,10.7,0,0.6,,0.1,,0.6,
Cosepa Fiscal Inds. Pvt. Ltd.,31-03-2021,12,0.5,29.7,29.7,0.4,0.1,,,,0.5,
Cosmic Commodity Pvt. Ltd.,31-03-2022,12,0.5,9.8,9.8,0,0.5,,,,0.5,
Cosmic Investments Ltd.,31-03-2023,12,,837.3,837.3,-0.8,0.8,,,,,
Cosmo Finvest Pvt. Ltd.,31-03-1999,12,2.1,10,10,-0.4,2.5,,,,2.1,
Cosmos Cements Ltd.,31-03-2023,12,1.4,539.9,539.9,-15.4,22.6,,,,1.4,
Cosmos Co-Operative Bank Ltd.,31-03-2024,12,19502,240193.5,240193.5,959.9,18542.1,9.1,778.6,0.2,18722.6,20.3
Cosmos Cotton India Ltd.,31-03-2014,12,6.3,378.2,378.2,-52.4,58.7,,,,0.6,5.7
Cosmos Estate Pvt. Ltd.,31-03-2012,12,,11,11,-2.3,2.3,,,,,
Cosmos Finman Ltd.,31-03-2010,12,,1.5,1.5,,,,,,,
Coverfox Insurance Broking Pvt. Ltd.,31-03-2023,12,121.3,227.4,227.4,-5.8,127.1,0.3,6.8,3.2,115.1,
Cox & Kings Financial Service Ltd.,31-03-2019,12,1024.8,5221.1,5221.1,33.4,991.4,24.5,,,1019.2,5.6
Cozy Enterprises Ltd.,31-03-2021,12,0.1,56.5,56.5,-0.7,0.8,,,0.1,,
Cranes Software Intl. Ltd.,31-03-2024,12,,1467.1,1467.1,-186.7,186.7,,3.3,,,
Crassula Ltd.,31-03-2023,12,0.1,0.7,0.7,0,0.1,,,0.1,,
Creative Eye Ltd.,31-03-2024,12,13.8,293.6,293.6,-25.9,39.7,2.9,,4.7,6.8,
Creative Infra Developers Ltd.,31-03-2023,12,,0.4,0.4,,,,,,,
Creative Vastrado Pvt. Ltd.,31-03-2023,12,59.3,501.9,501.9,17.1,43.2,,,25.4,32.1,1.8
Creative Wear Pvt. Ltd.,31-03-2022,12,0.2,25.1,25.1,-1.5,1.7,0.3,,,0.2,
Credent Global Finance Ltd.,31-03-2024,12,69.5,814.5,814.5,21.2,48.3,,,,69.5,
Credential Finance Ltd.,31-03-2000,12,12.3,353.7,353.7,-73,85.3,,,,12.3,
Credential Finance Ltd. (1985),31-03-2014,12,,273.7,273.7,,,,,,,
Credible Nivesh Ltd.,31-03-2022,12,34.1,989.7,989.7,3.8,30.3,,,,34.1,
Credit Agricole Corporate & Invst. Bank,31-03-2023,12,8990.8,198428.9,198428.9,807.4,8183.4,,45.1,,8884.5,104
Credit Lyonnais,31-03-2004,12,1558.4,13874.8,13874.8,96.9,1461.5,,28.6,,1523.2,32.9
Credit Market Services Ltd.,31-03-2020,12,,1,1,-1.6,1.6,,,,,
Credit Suisse A G (Mumbai),31-03-2024,12,15371.7,81486.9,81486.9,1973.2,13398.5,,5.2,,15140.5,192.8
Credit Suisse Finance (India) Pvt. Ltd.,31-03-2024,12,2089,25223,25223,1303.7,785.3,,13.6,,2088.8,
Credit Suisse Securities (India) Pvt. Ltd.,31-03-2023,12,4192.8,20500,20500,966.4,3226.4,0.7,,50.3,3781.7,43.6
Creditaccess Grameen Ltd.,31-03-2024,12,51726.5,306739.5,306739.5,14459.3,37267.2,112.9,347.7,,51189.8,59.8
Cref Finance Ltd.,31-03-2023,12,1.6,32.3,32.3,0.4,1.2,,,,1.6,
Cremica Agro Foods Ltd.,31-03-2024,12,3.8,86.6,86.6,1.6,2.2,0.1,0.1,,3.7,
Cremica Foods Ltd. [Merged],31-03-2013,12,5,12.8,12.8,2.2,2.8,,,,4.6,
Crescent Finstock Ltd.,31-03-2024,12,1.4,325.1,325.1,-2.4,4.9,,,1.2,0.2,
Crescent Iron & Steel Corpn. Ltd.,31-03-2022,12,0.1,31.1,31.1,0,0.1,,,,0.1,
Crescent Leasing Ltd.,31-03-2021,12,1,825.3,825.3,0.1,0.9,,0.1,,0.2,0.8
Crescent Securities Ltd.,31-03-2022,12,,1.1,1.1,,,,,,,
Crescent Securities Ltd. (Delhi),31-03-2023,12,2.2,28.7,28.7,-1.8,4,,,,2,0.2
Crest Capital & Invst. Pvt. Ltd.,31-03-2023,12,38.5,474,474,4.9,33.6,,2,0.1,38.4,
Crest Fincap Advisors Pvt. Ltd.,31-03-2024,12,3.5,12.3,12.3,1.6,1.9,,,2.7,0.8,
Crest Finserv Ltd.,31-03-2024,12,238.5,755.8,755.8,29.7,208.8,0.9,,,236.6,
Crest Geartech Pvt. Ltd. [Merged],31-03-2016,12,0.5,23.1,23.1,-0.1,0.6,,0.1,,0.5,
Crest International Pvt. Ltd.,31-03-2010,12,0.2,10.1,10.1,-0.4,0.6,,,,0.2,
Crest Residency Pvt. Ltd.,31-03-2024,12,0.3,115.8,115.8,-1.5,3.3,,,,0.3,
Crest Ventures Ltd.,31-03-2024,12,1410.6,12007.5,12007.5,496.6,917.1,5.6,4.8,308.2,1088.7,
Cricket Club Of India Ltd.,31-03-2023,12,1057.7,9915.7,9915.7,200.9,856.8,1.8,10.3,476,580.9,
Crimson Commodity Ltd. [Merged],31-03-2011,12,5.3,48.9,48.9,0.4,4.9,,,,5.3,
Crimson Investments Ltd.,31-03-2023,12,,242.7,242.7,-0.3,0.3,,,,,
Crisil Ratings Ltd.,31-12-2022,12,4292.1,2373.1,2373.1,1649.7,2642.4,1.2,65.6,4229,61.2,0.2
Crisil Risk & Infrastructure Solutions Ltd. [Merged],31-12-2021,12,1042.2,1588.1,1588.1,71.8,970.4,,24,1019.6,15.1,7.3
Criss Financial Ltd.,31-03-2024,12,1490.7,8265.6,8265.6,334.9,1155.8,2.4,16.6,6.2,1443.1,12.1
Critical Mass Multilink Ltd.,31-03-2023,12,,54.9,54.9,,,,,,,
Cromakem Ltd.,31-03-2017,12,0.6,53.3,53.3,0,0.6,,0.1,,0.6,
Crombes Holdings Ltd.,31-03-2008,12,2.2,159.4,159.4,1.8,0.4,,,,,2.2
Crombes Properties Ltd.,31-03-2003,12,,,,,,,,,,
Crony Vyapar Pvt. Ltd.,31-03-2023,12,29.8,188.2,188.2,15.7,14.1,,,,29.8,
Cross Border Power Transmission Co. Ltd.,31-03-2023,12,329.5,2517.2,2517.2,163.3,166.2,,,74.2,252.3,3
Crosseas Capital Services Pvt. Ltd.,31-03-2023,12,1445.3,3289.2,3289.2,383.2,1062.1,19,4.8,1.2,1437.4,6.7
Crosseas Comtrade Pvt. Ltd. [Merged],31-03-2019,12,18.5,82,82,6.8,11.7,,,,18.5,
Crossword Suppliers Pvt. Ltd. [Merged],31-03-2021,12,,0.3,0.3,,,,,,,
Croton Trading Pvt. Ltd.,31-03-2010,12,0.1,26.6,26.6,0.1,,,,,0.1,
Crouse Investment Ltd.,31-03-2010,12,,7,7,,,,,,,
Crown Beers Intl. Ltd.,31-03-2008,12,77.2,782.3,782.3,45.9,31.3,,,20,,
Crown Infotainment Ltd.,31-03-2012,12,0.4,1.3,1.3,-0.5,0.9,0.1,,,0.3,
Crown Leasing & Finance Ltd.,31-03-2022,12,0.3,24.6,24.6,0.2,0.1,,,,0.3,
Crown Maritime Co. (India) Ltd.,31-03-2008,12,33.1,309.8,309.8,-50.7,83.8,,0.5,,0.7,
Crysdale Industries Ltd.,31-03-2024,12,1,44.1,44.1,-1,2,0.2,,,1,
Crystal Capital Finance (India) Ltd.,31-03-2008,12,0.1,3.3,3.3,0,0.1,,,,0.1,
Crystal Credits Corpn. Ltd.,31-03-1998,12,151.3,398,398,14.4,136.9,0.5,2,,145,2.4
Cubical Financial Services Ltd.,31-03-2024,12,18.3,149,149,11.6,6.7,,,,17.6,
Cuckoo Realtech Ltd.,31-03-2009,12,,16.9,16.9,,,,,,,
Cuddalore Powergen Corpn. Ltd.,31-03-2023,12,4.2,395.6,395.6,-181.4,185.6,0.1,,,1.2,3
Cumulus Trading Co. Pvt. Ltd.,31-03-2023,12,11.9,1072.2,1072.2,10.6,1.3,,,,1.9,
Cupid Breweries & Distilleries Ltd.,31-03-2024,12,9.6,11,11,-0.9,10.5,0.1,1.2,,0.5,
Curepro Parenterals Ltd. [Merged],31-03-2020,12,,3474.6,3474.6,-86.2,86.2,,,,,
Currents Technology Retail (India) Ltd.,31-03-2023,12,0.2,11.6,11.6,-0.5,0.7,0.1,,,0.2,
Cyber Family.Com Ltd.,31-03-2020,12,,9.8,9.8,,,,,,,
Cyber Holdings Ltd. [Merged],31-03-2010,12,,0.5,0.5,,,,,,,
Cyber Media Services Ltd.,31-03-2023,12,,0,,-0.1,0.1,,,,,
Cyberabad Expressways Ltd.,31-03-2022,12,242,1276.1,1276.1,-18.1,260.1,,1.2,105,133.4,0.1
Cyberabad Trustee Co. Pvt. Ltd.,31-03-2024,12,0.1,0.8,0.8,0,0.1,,,,0.1,
Cyberwave Infrastructure Ltd.,31-03-2022,12,0.6,8.6,8.6,0.4,0.2,,,,0.6,
Cyethack Solutions Pvt. Ltd.,31-03-2023,12,0.8,0.6,0.6,0,0.8,,,0.1,,0.7
Cygnus Publishers Ltd.,31-03-2010,12,0.4,251.3,251.3,0,0.4,,,,0.4,
Cynera Investments & Holdings Ltd. [Merged],31-03-2009,12,2.1,58.6,58.6,0.5,1.6,,,,2,
Cypriot Consultancy Services Ltd. [Merged],31-03-2011,12,9.5,0.6,0.6,9.4,0.1,,,,9.5,
Cyrus Chemicals Pvt. Ltd.,31-03-2012,12,0.1,4.4,4.4,0,0.1,,,,0.1,
Cyrus Engineers Pvt. Ltd.,31-03-2022,12,4.5,108.4,108.4,3.3,1.2,0.1,,,4.5,
Cyrus Investments Pvt. Ltd.,31-03-2023,12,464.3,11386.2,11386.2,249.4,214.9,2.2,,2,451.4,0.6
D & M Components Ltd.,31-03-2023,12,15.7,143.2,143.2,2.5,13.2,,,0.2,15.5,
D B (International) Stock Brokers Ltd.,31-03-2024,12,473,1293.5,1293.5,86.4,386.6,38.2,1.5,,472.4,
D B F S Securities Ltd.,31-03-2023,12,178.7,406.4,406.4,12.1,166.6,,2.6,,178.6,0.1
D B L Bankhlafata-Dogawa Tollways Ltd.,31-03-2022,12,123.2,792.4,792.4,16.6,106.6,,11.4,,122.6,
D B L Betul-Sarni Tollways Pvt. Ltd.,31-03-2023,12,286.3,1819.1,1819.1,-59.7,346,15.3,,103.9,179.5,2.4
D B L Byrapura Challakere Highways Pvt. Ltd.,31-03-2022,12,683.9,3371.4,3371.4,304.1,379.8,1.9,,58.2,625.7,
D B L Hassan Periyapatna Tollways Pvt. Ltd.,31-03-2023,12,475.1,1356.1,1356.1,243.5,231.6,,4.7,,386.9,64.3
D B L Hata-Dargawon Tollways Pvt. Ltd.,31-03-2023,12,122.9,689.6,689.6,4.9,118,,6.3,23.5,99.2,
D B L Jaora-Sailana Tollways Pvt. Ltd.,31-03-2022,12,161.2,923.8,923.8,29.7,131.5,,15.6,,160.7,
D B L Kalmath Zarap Highways Pvt. Ltd.,31-03-2023,12,828.1,3239.8,3239.8,486.3,341.8,,,825.4,2.4,0.2
D B L Mundargi Harapanahalli Tollways Pvt. Ltd.,31-03-2023,12,312.3,869.5,869.5,155.9,156.4,3.2,,33.2,278.2,0.8
D B L Nadiad Modasa Tollways Pvt. Ltd.,31-03-2023,12,157,1038.7,1038.7,29.1,127.9,3.5,22.8,,156.7,
D B L Silwani-Sultanganj Tollways Pvt. Ltd.,31-03-2022,12,140.6,650.3,650.3,43.6,97,,13,43.8,96.7,0.1
D B L Uchera-Nagod Tollways Pvt. Ltd.,31-03-2022,12,152.6,718.1,718.1,44.4,108.2,,11.1,45.9,106.7,
D B Man Realty Ltd.,31-03-2022,12,,0,,-131.7,131.7,,,,,
D B Partners Enterprises Pvt. Ltd.,31-03-2021,12,,0,,,,,,,,
D B Power (Madhya Pradesh) Ltd.,31-03-2023,12,23.6,2497.9,2497.9,-323.1,346.7,,,,22.5,1
D B S Bank India Ltd.,31-03-2024,12,94783.3,1298934.9,1298934.9,3768.4,91014.9,,2257.4,,94001.3,63.8
D B S Bank Ltd.,31-03-2018,12,27986.9,468532.5,468532.5,-5328.7,33315.6,,671.6,,27841,28.7
D B View Infracon Pvt. Ltd.,31-03-2023,12,29.7,5379,5379,4.6,25.1,0.9,,,29.5,
D C B Bank Ltd.,31-03-2024,12,59242.7,631072,631072,5428.3,53814.4,,1437.5,,58007.6,353.7
D C L Developers Ltd.,31-03-2010,12,5.5,63.7,63.7,3.6,1.9,,,0.4,4.2,
D C L Exim Pvt. Ltd.,31-03-2022,12,1.3,49.1,49.1,0.6,0.7,,,,1.3,
D C L Finance Ltd.,30-06-2000,12,40.3,295.1,295.1,-105.6,145.9,0.4,0.5,4.6,31,2.1
D C M Engineering Ltd.,31-03-2024,12,,0.6,0.6,,,,,,,
D C M Finance & Leasing Ltd.,31-03-2020,12,,1.1,1.1,,,,,,,
D C M Financial Services Ltd.,31-03-2024,12,7.9,330.7,330.7,-9.3,17.2,,0.6,,7.3,
D C M Overseas Trading Co. Ltd.,31-03-2010,12,,6.3,6.3,-3.3,3.3,,0.6,,,
D C M Shriram Aqua Foods Ltd.,31-03-2024,12,4,52.8,52.8,2.2,1.8,,,,3.2,
D C M Shriram Chemicals Ltd. [Merged],31-03-2010,12,,135.7,135.7,,,,,,,
D C M Shriram Credit & Investments Ltd.,31-03-2024,12,4.1,144.3,144.3,-2,6.1,,,,4.1,
D C M Shriram Granites Ltd. [Merged],31-03-2010,12,,135.3,135.3,,,,,,,
D C W Finance Ltd. [Merged],31-03-2000,12,37.9,300.2,300.2,5.4,32.5,0.8,0.1,2.3,35.6,
D D Global Capital Pvt. Ltd.,31-03-2023,12,,962.2,962.2,-6.7,6.7,,0.4,,,
D D S Sales Pvt. Ltd.,31-03-2022,12,0.2,8,8,0.1,0.1,,,,0.2,
D Devaraj Urs Backward Classes Devp. Corpn. Ltd.,31-03-2010,12,99.2,2660.4,2660.4,-13.7,112.9,,2.4,1.2,98,
D F L Finance Pvt. Ltd.,31-03-2023,12,2.9,33.7,33.7,1.1,1.8,0.1,,,2.9,
D F L Infrastructure Finance Ltd.,31-03-2015,12,14.9,350.2,350.2,-342.1,357,0.2,1.7,0.7,3.8,
D F Power Systems Pvt. Ltd.,31-03-2023,12,6.7,84.4,84.4,5.6,1.1,,,,0.4,
D G P Capital Mgmt. Ltd. [Merged],31-03-2022,12,5.9,60.4,60.4,5,0.9,,,,5.9,
D G P Securities Ltd.,31-03-2023,12,450.3,1187.9,1187.9,224.3,226,,,,448.4,
D G Vitta Vinimay & Properties Ltd.,31-03-2011,12,9.4,95.4,95.4,2,7.4,0.1,,,9.4,
D H F L Advisory & Invsts. Pvt. Ltd.,31-03-2024,12,0.1,5.5,5.5,-0.4,0.5,,,,,
D H F L Holdings Pvt. Ltd. [Merged],31-03-2012,12,274.9,7403.4,7403.4,-248.3,523.2,,,,274.9,
D H F L Ventures Trustee Co. Pvt. Ltd.,31-03-2022,12,,1.2,1.2,,,,,,,
D H K Investment Co.,31-03-2023,12,9.9,44.9,44.9,3.7,6.2,,,,9.9,
D H P Leasing Ltd.,31-03-2013,12,1,19.3,19.3,-0.7,1.7,0.3,,,1,
D I Properties Ltd.,31-03-2023,12,0.1,35.8,35.8,-0.5,0.6,,,,0.1,
D I Trading Co. Ltd. [Merged],31-03-2000,12,20.6,546,546,-4.5,25.1,0.1,,,20.6,
D J S Stock & Shares Ltd.,31-03-2024,12,2.3,65,65,-0.3,2.6,,0.1,,1.6,
D K G Finvest Pvt. Ltd.,31-03-2022,12,4,18.5,18.5,2.4,1.6,,,,1.5,
D K M Exports Pvt. Ltd.,31-03-2022,12,,7.4,7.4,,,,,,,
D L F Commercial Developers Ltd. [Merged],31-03-2021,12,2094.3,21074.4,21074.4,1576.3,518,2.7,0.1,21.2,447.4,
D L F Exclusive Floors Pvt. Ltd.,31-03-2024,12,11.2,4231.9,4231.9,-32.4,43.6,,0.2,,10.6,
D L F Financial Services Ltd. [Merged],31-03-2005,12,,5.8,5.8,0,0.2,,,,,
D L F Hospitality & Recreational Ltd. [Merged],31-03-2008,8,9.8,142.5,142.5,8.4,1.4,0.9,,,9.8,
D L F Hotel Holdings Ltd. [Merged],31-03-2017,12,404.4,14097.3,14097.3,249.7,154.7,0.1,,,393.5,
D L F Info City Developers (Chennai) Ltd. [Merged],31-03-2016,12,4423.6,43870.3,43870.3,2751.8,1671.8,1,1.6,108.4,4153.8,0.1
D L F Info City Developers (Hyderabad) Ltd. [Merged],31-03-2023,12,381,4303.8,4303.8,-104.1,485.1,0.1,,86.7,289.9,
D L F Info Park (Pune) Ltd.,31-03-2024,12,,3111.1,3111.1,-27.3,27.3,20.6,0.2,,,
D L F Inns Ltd. [Merged],31-03-2008,14,0.3,0.8,0.8,0.2,0.1,,,,0.3,
D L F It Offices Chennai Pvt. Ltd.,31-03-2024,12,1760.8,7472,7472,1595.5,165.3,,,,36.2,
D L F Lands India Pvt. Ltd.,31-03-2024,12,2.9,940.4,940.4,-9,11.9,2.9,,,0.4,
D L F Luxury Hotels Ltd. [Merged],31-03-2014,12,0.3,8.5,8.5,0.2,0.1,,,,0.3,
D L F Phase-Iv Commercial Developers Ltd. [Merged],31-03-2021,12,0.1,524.4,524.4,-22.8,22.9,,,,0.1,
D L F Real Estate Builders Ltd. [Merged],31-03-2021,12,93.2,1056.3,1056.3,8.5,82.5,,0.2,88.4,2.7,1.7
D L F Realtors Pvt. Ltd. [Merged],31-03-2008,12,35.5,10.4,10.4,4.9,30.6,,,,35.5,
D L F Telecom Ltd. [Merged],31-03-2014,12,0.1,130.2,130.2,0,0.1,,,,0.1,
D L K Designs Pvt. Ltd. [Merged],31-03-2019,12,30.7,344,344,-0.3,31,,0.1,,30.7,
D L L Global Business Services Pvt. Ltd.,31-03-2023,12,1526.7,2013.6,2013.6,-1344,2870.7,,71,11.2,380.2,144.8
D L L Talwalkars Club Pvt. Ltd.,31-03-2019,12,10.3,1153.8,1153.8,-32.2,42.5,3.5,1.3,,10.3,
D M I Finance Pvt. Ltd.,31-03-2023,12,16565.1,89668,89668,3240.2,13324.9,427.1,10.7,,16543.7,21.4
D M I Housing Finance Pvt. Ltd.,31-03-2024,12,2216.6,19005.5,19005.5,526.5,1690.1,14.2,9.8,27.5,2188.9,0.1
D P I L Ltd. [Merged],31-03-2014,12,0.1,203.3,203.3,-9,9.1,,,,0.1,
D P I Products & Services Ltd.,31-03-2022,12,3.5,37.7,37.7,2.9,0.6,0.2,,,,
D P S E Finance Ltd.,31-03-2011,12,0.4,24.3,24.3,0.2,0.2,,0.1,,0.3,0.1
D P S Infotech Pvt. Ltd.,31-03-2023,12,,1.2,1.2,,,,,,,
D Pal Leasing & Finance Co. Ltd.,31-03-2022,12,19,279,279,3.3,15.7,0.1,0.3,,18.3,
